com.gsnathan.pdfviewer - Cumulative average rating by country for 2018-02-23 - 2019-03-27,,,,,,,
2018-02-23 - 2019-03-27,2018-03-20,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-21,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-22,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-23,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-24,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-25,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-26,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-27,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-28,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-29,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-30,-,-,-,,,
2018-02-23 - 2019-03-27,2018-03-31,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-01,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-02,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-03,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-04,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-05,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-06,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-07,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-08,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-09,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-10,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-11,-,-,-,,,
2018-02-23 - 2019-03-27,2018-04-12,-,1,-,,,
2018-02-23 - 2019-03-27,2018-04-13,-,1,-,,,
2018-02-23 - 2019-03-27,2018-04-14,-,1,-,,,
2018-02-23 - 2019-03-27,2018-04-15,-,1,-,,,
2018-02-23 - 2019-03-27,2018-04-16,-,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-17,-,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-18,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-19,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-20,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-21,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-22,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-23,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-24,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-25,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-26,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-27,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-28,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-29,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-04-30,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-01,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-02,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-03,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-04,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-05,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-06,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-07,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-08,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-09,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-10,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-11,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-12,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-13,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-14,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-15,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-16,5,2.5,-,,,Rollout of release - Started rollout of 1.7 at 100%
2018-02-23 - 2019-03-27,2018-05-17,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-18,5,2.5,-,,,Rollout of release - Started rollout of 1.8 at 100%
2018-02-23 - 2019-03-27,2018-05-19,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-20,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-21,5,2.5,-,,,
2018-02-23 - 2019-03-27,2018-05-22,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-23,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-24,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-25,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-26,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-27,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-28,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-29,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-30,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-05-31,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-01,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-02,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-03,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-04,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-05,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-06,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-07,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-08,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-09,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-10,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-11,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-12,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-13,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-14,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-15,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-16,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-17,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-18,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-19,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-20,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-21,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-22,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-23,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-24,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-25,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-26,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-27,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-28,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-29,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-06-30,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-01,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-02,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-03,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-04,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-05,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-06,5,3.33,-,,,
2018-02-23 - 2019-03-27,2018-07-07,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-08,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-09,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-10,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-11,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-12,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-13,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-14,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-15,5,3.33,5,,,
2018-02-23 - 2019-03-27,2018-07-16,5,3.5,5,,,
2018-02-23 - 2019-03-27,2018-07-17,5,3.5,5,,,
2018-02-23 - 2019-03-27,2018-07-18,5,3.5,5,,,
2018-02-23 - 2019-03-27,2018-07-19,5,3.5,5,,,
2018-02-23 - 2019-03-27,2018-07-20,5,3.5,5,,,
2018-02-23 - 2019-03-27,2018-07-21,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-22,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-23,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-24,5,3.8,5,,,Rollout of release - Started rollout of 1.9 at 100%
2018-02-23 - 2019-03-27,2018-07-25,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-26,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-27,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-28,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-29,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-30,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-07-31,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-01,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-02,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-03,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-04,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-05,5,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-06,3.67,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-07,3.67,3.8,5,,,
2018-02-23 - 2019-03-27,2018-08-08,3.67,4,5,,,
2018-02-23 - 2019-03-27,2018-08-09,3.67,4,5,,,
2018-02-23 - 2019-03-27,2018-08-10,3.67,4,5,,,
2018-02-23 - 2019-03-27,2018-08-11,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-12,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-13,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-14,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-15,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-16,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-17,3.67,4.14,5,,,
2018-02-23 - 2019-03-27,2018-08-18,3.67,4.25,5,,,
2018-02-23 - 2019-03-27,2018-08-19,3.67,4.25,5,,,
2018-02-23 - 2019-03-27,2018-08-20,4,4.25,5,,,
2018-02-23 - 2019-03-27,2018-08-21,4,4.25,5,,,
2018-02-23 - 2019-03-27,2018-08-22,4,4.25,5,,,
2018-02-23 - 2019-03-27,2018-08-23,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-24,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-25,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-26,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-27,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-28,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-08-29,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-08-30,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-08-31,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-09-01,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-09-02,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-09-03,4,4.46,5,,,
2018-02-23 - 2019-03-27,2018-09-04,4,4.46,5,,,
2018-02-23 - 2019-03-27,2018-09-05,4,4.46,5,,,
2018-02-23 - 2019-03-27,2018-09-06,4,4.46,5,,,
2018-02-23 - 2019-03-27,2018-09-07,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-08,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-09,4,4.47,5,,,
2018-02-23 - 2019-03-27,2018-09-10,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-11,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-12,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-13,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-14,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-15,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-16,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-17,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-18,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-19,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-20,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-21,4,4.5,5,,,
2018-02-23 - 2019-03-27,2018-09-22,4,4.32,5,,,
2018-02-23 - 2019-03-27,2018-09-23,4,4.32,5,,,
2018-02-23 - 2019-03-27,2018-09-24,4,4.32,5,,,
2018-02-23 - 2019-03-27,2018-09-25,4,4.32,5,,,
2018-02-23 - 2019-03-27,2018-09-26,4,4.32,5,,,
2018-02-23 - 2019-03-27,2018-09-27,4,4.35,5,,,
2018-02-23 - 2019-03-27,2018-09-28,4,4.41,5,,,
2018-02-23 - 2019-03-27,2018-09-29,4,4.41,5,,,
2018-02-23 - 2019-03-27,2018-09-30,4,4.43,5,,,
2018-02-23 - 2019-03-27,2018-10-01,4,4.43,5,,,
2018-02-23 - 2019-03-27,2018-10-02,4,4.43,5,,,
2018-02-23 - 2019-03-27,2018-10-03,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-10-04,4,4.4,5,,,
2018-02-23 - 2019-03-27,2018-10-05,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-10-06,4,4.42,5,,,
2018-02-23 - 2019-03-27,2018-10-07,4,4.41,5,,,
2018-02-23 - 2019-03-27,2018-10-08,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-09,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-10,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-11,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-12,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-13,4,4.45,5,,,
2018-02-23 - 2019-03-27,2018-10-14,4,4.44,5,,,
2018-02-23 - 2019-03-27,2018-10-15,4,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-16,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-17,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-18,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-19,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-20,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-21,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-22,4.14,4.45,3.67,,,
2018-02-23 - 2019-03-27,2018-10-23,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-24,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-25,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-26,4.14,4.46,3.67,,,
2018-02-23 - 2019-03-27,2018-10-27,4.14,4.46,3.67,,,
2018-02-23 - 2019-03-27,2018-10-28,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-29,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-30,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-10-31,4.14,4.44,3.67,,,
2018-02-23 - 2019-03-27,2018-11-01,4.14,4.46,3.67,,,
2018-02-23 - 2019-03-27,2018-11-02,4.14,4.46,4,,,
2018-02-23 - 2019-03-27,2018-11-03,4.25,4.45,4,,,
2018-02-23 - 2019-03-27,2018-11-04,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-05,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-06,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-07,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-08,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-09,4.25,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-10,4.25,4.45,4,,,
2018-02-23 - 2019-03-27,2018-11-11,4.71,4.45,4,,,
2018-02-23 - 2019-03-27,2018-11-12,4.71,4.45,4,,,
2018-02-23 - 2019-03-27,2018-11-13,4.71,4.44,4,,,
2018-02-23 - 2019-03-27,2018-11-14,4.71,4.45,4.2,,,
2018-02-23 - 2019-03-27,2018-11-15,4.71,4.45,4.2,,,
2018-02-23 - 2019-03-27,2018-11-16,4.63,4.45,4.2,,,
2018-02-23 - 2019-03-27,2018-11-17,4.63,4.45,4.2,,,
2018-02-23 - 2019-03-27,2018-11-18,4.63,4.45,4.33,,,
2018-02-23 - 2019-03-27,2018-11-19,4.63,4.45,4.33,,,
2018-02-23 - 2019-03-27,2018-11-20,4.63,4.42,4.33,,,
2018-02-23 - 2019-03-27,2018-11-21,4.63,4.4,4.33,,,
2018-02-23 - 2019-03-27,2018-11-22,4.63,4.4,4.33,,,
2018-02-23 - 2019-03-27,2018-11-23,4.63,4.43,4.33,,,Rollout of release - Started rollout of 2.0 at 100%
2018-02-23 - 2019-03-27,2018-11-24,4.63,4.46,4.33,,,
2018-02-23 - 2019-03-27,2018-11-25,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-11-26,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-11-27,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-11-28,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-11-29,4.63,4.46,4.43,,,Rollout of release - Started rollout of 2.2 at 100%
2018-02-23 - 2019-03-27,2018-11-30,4.63,4.46,4.43,,,Rollout of release - Started rollout of 2.3 at 100%
2018-02-23 - 2019-03-27,2018-12-01,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-02,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-03,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-04,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-05,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-06,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-07,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-08,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-09,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-10,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-11,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-12,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-13,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-14,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-15,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-16,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-17,4.63,4.46,4.43,,,
2018-02-23 - 2019-03-27,2018-12-18,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-19,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-20,4.63,4.45,4.43,,,
2018-02-23 - 2019-03-27,2018-12-21,4.63,4.45,4.13,,,
2018-02-23 - 2019-03-27,2018-12-22,4.63,4.44,4.13,,,
2018-02-23 - 2019-03-27,2018-12-23,4.63,4.44,4.13,,,
2018-02-23 - 2019-03-27,2018-12-24,4.63,4.44,4.13,,,
2018-02-23 - 2019-03-27,2018-12-25,4.63,4.44,4.13,,,
2018-02-23 - 2019-03-27,2018-12-26,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2018-12-27,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2018-12-28,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2018-12-29,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2018-12-30,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2018-12-31,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2019-01-01,4.63,4.41,4.13,,,
2018-02-23 - 2019-03-27,2019-01-02,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-03,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-04,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-05,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-06,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-07,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-08,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-09,4.63,4.44,3.78,,,
2018-02-23 - 2019-03-27,2019-01-10,4.63,4.44,3.78,,,
2018-02-23 - 2019-03-27,2019-01-11,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-12,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-13,4.63,4.43,3.78,,,Rollout of release - Started rollout of 2.5 at 100%
2018-02-23 - 2019-03-27,2019-01-14,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-15,4.63,4.44,3.78,,,
2018-02-23 - 2019-03-27,2019-01-16,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-17,4.63,4.39,3.78,,,Rollout of release - Started rollout of 2.6 at 100%
2018-02-23 - 2019-03-27,2019-01-18,4.63,4.4,3.78,,,
2018-02-23 - 2019-03-27,2019-01-19,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-20,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-21,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-22,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-23,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-24,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-25,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-26,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-27,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-28,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-01-29,4.63,4.42,3.78,,,
2018-02-23 - 2019-03-27,2019-01-30,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-01-31,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-02-01,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-02-02,4.63,4.43,3.78,,,
2018-02-23 - 2019-03-27,2019-02-03,4.63,4.44,3.78,,,
2018-02-23 - 2019-03-27,2019-02-04,4.63,4.44,3.78,,,
2018-02-23 - 2019-03-27,2019-02-05,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-02-06,4.63,4.41,3.78,,,
2018-02-23 - 2019-03-27,2019-02-07,4.63,4.41,3.9,,,
2018-02-23 - 2019-03-27,2019-02-08,4.63,4.4,3.9,,,
2018-02-23 - 2019-03-27,2019-02-09,4.63,4.4,3.9,,,
2018-02-23 - 2019-03-27,2019-02-10,4.63,4.41,3.9,,,
2018-02-23 - 2019-03-27,2019-02-11,4.63,4.42,3.9,,,
2018-02-23 - 2019-03-27,2019-02-12,4.63,4.42,3.9,,,
2018-02-23 - 2019-03-27,2019-02-13,4.63,4.42,3.9,,,
2018-02-23 - 2019-03-27,2019-02-14,4.63,4.4,3.9,,,
2018-02-23 - 2019-03-27,2019-02-15,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-16,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-17,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-18,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-19,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-20,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-21,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-22,4.63,4.4,4,,,Rollout of release - Started rollout of 2.7 at 100%
2018-02-23 - 2019-03-27,2019-02-23,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-24,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-25,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-26,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-27,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-02-28,4.63,4.41,4,,,
2018-02-23 - 2019-03-27,2019-03-01,4.63,4.41,4,,,
2018-02-23 - 2019-03-27,2019-03-02,4.63,4.42,4,,,
2018-02-23 - 2019-03-27,2019-03-03,4.63,4.42,4,,,
2018-02-23 - 2019-03-27,2019-03-04,4.63,4.42,4,,,
2018-02-23 - 2019-03-27,2019-03-05,4.63,4.42,4,,,
2018-02-23 - 2019-03-27,2019-03-06,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-07,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-08,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-09,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-10,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-11,4.63,4.38,4,,,
2018-02-23 - 2019-03-27,2019-03-12,4.63,4.4,4,,,
2018-02-23 - 2019-03-27,2019-03-13,4.63,4.4,4,,,
